iter	Logloss
117	0.2922723918
118	0.2915663263
119	0.2900568707
120	0.2886546645
121	0.2874337017
122	0.2869056952
123	0.2856829318
124	0.284537806
125	0.2840930428
126	0.2823716118
127	0.2821187672
128	0.2808436675
129	0.2796660114
130	0.2789149586
131	0.2775455975
132	0.2764535638
133	0.2743532394
134	0.2739022178
135	0.2728539652
136	0.2720003603
137	0.2703971919
138	0.2693344564
139	0.2679614597
140	0.2662599143
141	0.264338452
142	0.2634798756
143	0.2621604528
144	0.260987874
145	0.2599921058
146	0.2589127652
147	0.2577882112
148	0.2567963366
149	0.2566573988
150	0.2553465917
151	0.2545780869
152	0.253564676
153	0.2528613298
154	0.2512720711
155	0.250561199
156	0.2494862767
157	0.2481395647
158	0.2476641141
159	0.2465183046
160	0.245554293
161	0.2438957012
162	0.2427941949
163	0.240941967
164	0.2397494141
165	0.2391583277
166	0.2381014017
167	0.2368614865
168	0.2358381186
169	0.2348386442
170	0.2339752905
171	0.2331116514
172	0.2321955356
173	0.2314924211
174	0.2305078459
175	0.2298148099
176	0.2286844364
177	0.2280883453
178	0.2267268565
179	0.2255411963
180	0.2246567269
181	0.2234242569
182	0.2231231254
183	0.2224354264
184	0.2215729309
185	0.2201269121
186	0.2191741613
187	0.2181466455
188	0.2172300298
189	0.2161583594
190	0.2155940794
191	0.2147111744
192	0.213881313
193	0.2126764779
194	0.2119944536
195	0.2108328588
196	0.2097570678
197	0.2087217282
198	0.2082029876
199	0.2071362729
200	0.2063822186
201	0.2055336103
202	0.2049474755
203	0.204509889
204	0.2033187264
205	0.2026912873
206	0.2020368167
207	0.2011519363
208	0.2003832427
209	0.1991819466
210	0.1985266706
211	0.1978840487
212	0.1974040203
213	0.1963155882
214	0.195758734
215	0.1949072984
216	0.1940378627
217	0.193502399
218	0.1927862984
219	0.1926788769
220	0.1926230893
221	0.1919080664
222	0.1910826984
223	0.1902807737
224	0.1897519341
225	0.188724363
226	0.1882538119
227	0.1873009035
228	0.186559774
229	0.1858219937
230	0.1852643873
231	0.1840781335
232	0.183717857
233	0.1829642021
234	0.1820357213
235	0.1815142167
236	0.1807793813
237	0.1802110454
238	0.1796752665
239	0.1788423937
240	0.1784501139
241	0.1779474807
242	0.1774061191
243	0.1768552006
244	0.1764042351
245	0.1757210371
246	0.1750744046
247	0.1746841823
248	0.1739744677
249	0.1736315924
250	0.172995754
251	0.1727871131
252	0.172333997
253	0.1713496297
254	0.1705152363
255	0.1702644423
256	0.169790151
257	0.1695295123
258	0.168685857
259	0.1679851525
260	0.1677813935
261	0.1672159308
262	0.1666242948
263	0.1655633446
264	0.1647732882
265	0.164055173
266	0.1637232301
267	0.1633629652
268	0.162832962
269	0.1622409553
270	0.1616891891
271	0.1609296807
272	0.1602377386
273	0.15978036
274	0.1590254814
275	0.1581082496
276	0.1578700198
277	0.1578081157
278	0.1575609179
279	0.1569781946
280	0.1564702274
281	0.1559516221
282	0.1558630902
283	0.1558028283
284	0.1555391205
285	0.1551939063
286	0.1545826848
287	0.1543722534
288	0.1537195283
289	0.1531903483
290	0.152407561
291	0.1520696027
292	0.1515308128
293	0.1511677721
294	0.150711527
295	0.1503219503
296	0.1494271304
297	0.1489057525
298	0.1483067625
299	0.1479220428
300	0.1475499987
301	0.1472293908
302	0.1468562122
303	0.1464132683
304	0.146359691
305	0.1458275856
306	0.1452930756
307	0.1450428992
308	0.1446512636
309	0.1444495325
310	0.1441963475
311	0.1436245037
312	0.1432790276
313	0.143226336
314	0.1428482
315	0.1425601544
316	0.1422057791
317	0.1413915547
318	0.1410221375
319	0.1405862543
320	0.1399949798
321	0.1393836226
322	0.1391327965
323	0.1387194728
324	0.1381397123
325	0.1377535141
326	0.1370510131
327	0.1365488101
328	0.1358532493
329	0.1354538407
330	0.1351399979
331	0.134682558
332	0.1343297001
333	0.1337927472
334	0.1333451402
335	0.1329025668
336	0.1326395662
337	0.1325114244
338	0.1321490718
339	0.1315683829
340	0.1314149462
341	0.1311845122
342	0.1306899645
343	0.1303687557
344	0.1300153157
345	0.1294539373
346	0.1290547923
347	0.1288531104
348	0.128396136
349	0.1279645411
350	0.1272945155
351	0.1269294705
352	0.1267512222
353	0.126379668
354	0.1261518705
355	0.1257401278
356	0.1252541259
357	0.124848873
358	0.1248056512
359	0.1238113788
360	0.1235266762
361	0.1230500042
362	0.1226719604
363	0.122471879
364	0.1221865747
365	0.12198678
366	0.1216878434
367	0.1213700056
368	0.1209707796
369	0.1207138021
370	0.1204423929
371	0.1200766547
372	0.1198297708
373	0.1194356414
374	0.1185493752
375	0.1181965818
376	0.1178731041
377	0.117649756
378	0.1173755533
379	0.1171069745
380	0.1166275412
381	0.1160511065
382	0.1157369466
383	0.1154143911
384	0.1150309053
385	0.114747131
386	0.1142920491
387	0.1136977437
388	0.1132495193
389	0.1129064535
390	0.1126769138
391	0.1124724881
392	0.111914385
393	0.1116597738
394	0.1116270271
395	0.1114523573
396	0.1110870013
397	0.1110665428
398	0.110724025
399	0.1104948319
400	0.1103399768
401	0.1102316248
402	0.1098922488
403	0.1095163629
404	0.1091425586
405	0.1089154055
406	0.1087830889
407	0.108442618
408	0.1082309746
409	0.1080328936
410	0.1078115078
411	0.1077898764
412	0.1075400053
413	0.107371321
414	0.1071315358
415	0.1069887067
416	0.1067038838
417	0.1065379142
418	0.106312482
419	0.1060139971
420	0.1056576838
421	0.1053495372
422	0.1051223505
423	0.1047675321
424	0.1044743674
425	0.1042089541
426	0.1039796063
427	0.1035668182
428	0.1031233942
429	0.1028021339
430	0.1024555898
431	0.102235079
432	0.1020376371
433	0.1017355544
434	0.1012720814
435	0.1010171928
436	0.1005674411
437	0.1001533927
438	0.09991763407
439	0.0995348102
440	0.09926398149
441	0.09874385921
442	0.09856669575
443	0.09830211861
444	0.09807830518
445	0.09797524682
446	0.09777053272
447	0.09766251018
448	0.09748362644
449	0.09719701977
450	0.09703148722
451	0.09689331331
452	0.09666842088
453	0.09629657634
454	0.09609128625
455	0.0959980703
456	0.09571402935
457	0.09524849414
458	0.09501601052
459	0.09480739476
460	0.09466170683
461	0.0946431777
462	0.09459195159
463	0.09444759296
464	0.09415636553
465	0.09380269897
466	0.09361100079
467	0.09330844181
468	0.09306850015
469	0.09292580657
470	0.09270233358
471	0.09244566013
472	0.0922111804
473	0.09197075388
474	0.09152145767
475	0.09113581687
476	0.09085946375
477	0.09078721747
478	0.09046629596
479	0.09034561671
480	0.08998931099
481	0.08968048646
482	0.08954331834
483	0.08941035799
484	0.08938400817
485	0.08931216978
486	0.08903617591
487	0.08896774118
488	0.08882514786
489	0.08858451088
490	0.08816536946
491	0.08797526624
492	0.08776392978
493	0.08746262201
494	0.08740429324
495	0.08722463149
496	0.08699384818
497	0.08695726705
498	0.08688955317
499	0.0868693688
500	0.08660430715
501	0.08647326165
502	0.08645432144
503	0.08627565991
504	0.08598917323
505	0.08571038774
506	0.08557884675
507	0.08544789114
508	0.08521537595
509	0.08521009523
510	0.08494991237
511	0.08452806439
512	0.08439187863
513	0.08437522141
514	0.08419309294
515	0.08408014994
516	0.08385925657
517	0.08363637096
518	0.08327677593
519	0.08301259155
520	0.08295526927
521	0.0828308619
522	0.08246966186
523	0.08239930956
524	0.08227075383
525	0.08206014495
526	0.08172527734
527	0.08120749147
528	0.08094080347
529	0.08066609966
530	0.08056037342
531	0.08054838304
532	0.08053552855
533	0.08039896015
534	0.08007452758
535	0.08005583012
536	0.07981760987
537	0.07954037005
538	0.07940441293
539	0.07923542271
540	0.07910281409
541	0.07908913224
542	0.07905405331
543	0.07904277654
544	0.07898188681
545	0.07877398199
546	0.07843909541
547	0.07826361313
548	0.0780646226
549	0.0778867339
550	0.07775981375
551	0.07767444665
552	0.07743936568
553	0.07731749252
554	0.07720714034
555	0.07708446991
556	0.076930839
557	0.07644099825
558	0.07634107924
559	0.07615766084
560	0.07606063144
561	0.07604571434
562	0.07582434745
563	0.07555024863
564	0.0755037451
565	0.07535915916
566	0.07531586107
567	0.07530173002
568	0.07518139563
569	0.0747166496
570	0.07470724267
571	0.07447778496
572	0.07409242431
573	0.07394779966
574	0.07378239247
575	0.07350402528
576	0.0733302591
577	0.07317434194
578	0.07314089735
579	0.07302705794
580	0.0728678276
581	0.0727893423
582	0.07261721961
583	0.07248484181
584	0.0724211078
585	0.07233559107
586	0.07231861659
587	0.07224096826
588	0.07204417235
589	0.07202667178
590	0.07191856575
591	0.07175347351
592	0.07162752713
593	0.07147467353
594	0.07140831513
595	0.071261376
596	0.07110981162
597	0.0709184721
598	0.07079068191
599	0.07063374562
600	0.07045673077
601	0.0699836109
602	0.06977696432
603	0.06972111174
604	0.06953502623
605	0.06942290419
606	0.0692738469
607	0.06926487508
608	0.06919687042
609	0.06914546217
610	0.06898428748
611	0.06886346565
612	0.06882484618
613	0.0687324451
614	0.06868351583
615	0.0685591291
616	0.06841776318
617	0.06833769672
618	0.06805848349
619	0.068002359
620	0.06786529682
621	0.06769157
622	0.06751735663
623	0.06743128307
624	0.0673702074
625	0.06718197757
626	0.06703871937
627	0.06692508228
628	0.06677138532
629	0.06663266879
630	0.06645986794
631	0.06616835972
632	0.06604274282
633	0.06585724403
634	0.06577417789
635	0.06560519304
636	0.06547909176
637	0.06527556512
638	0.06502032717
639	0.0649367157
640	0.06486583377
641	0.06472045269
642	0.06451361236
643	0.06450401083
644	0.06442917256
645	0.06429003544
646	0.06421951898
647	0.06415052864
648	0.06401439806
649	0.06388185627
650	0.06358405997
651	0.06352720825
652	0.06343539067
653	0.06321880688
654	0.06305346824
655	0.06294705339
656	0.06277326126
657	0.0626773865
658	0.06255505162
659	0.06254583806
660	0.06247606648
661	0.06231392506
662	0.0621255376
663	0.06189305801
664	0.06172760539
665	0.06154139681
666	0.06150686979
667	0.06145151729
668	0.06144282054
669	0.06132459944
670	0.06129459762
671	0.06115758522
672	0.06108546645
673	0.06104694898
674	0.06098447485
675	0.06087118285
676	0.06071550602
677	0.06053115179
678	0.06036932947
679	0.06030220079
680	0.06029420495
681	0.06020253339
682	0.06005368308
683	0.05993051782
684	0.05974178639
685	0.05962490613
686	0.05959248018
687	0.05946758734
688	0.05936474859
689	0.0592406528
690	0.0591816215
691	0.05908410892
692	0.05900856245
693	0.05893924245
694	0.0588843837
695	0.05888154421
696	0.05862974139
697	0.05839908486
698	0.05831347542
699	0.05823302028
700	0.05798133005
701	0.05779662324
702	0.05763889099
703	0.05757980562
704	0.05754369256
705	0.05742286419
706	0.05732688241
707	0.05719136819
708	0.0570752555
709	0.0570479045
710	0.05704168534
711	0.05695218502
712	0.05688802564
713	0.05688058307
714	0.05677023896
715	0.05670788745
716	0.05663241175
717	0.05655871584
718	0.05644947823
719	0.05636856528
720	0.05636263242
721	0.05630745303
722	0.05624400421
723	0.0561412787
724	0.05605661293
725	0.05598170482
726	0.05561651918
727	0.05536958496
728	0.05524643293
729	0.0552118783
730	0.05510288063
731	0.05499821833
732	0.05487010575
733	0.05475800949
734	0.0545009279
735	0.05447790072
736	0.0544136341
737	0.05430684605
738	0.05422256785
739	0.05412061366
740	0.05407046225
741	0.05396603699
742	0.05390659911
743	0.05386232579
744	0.05365024451
745	0.0534323571
746	0.05334683615
747	0.05324146546
748	0.05315976536
749	0.0530372848
750	0.05298499858
751	0.05297965777
752	0.05297335077
753	0.05289641816
754	0.0528328855
755	0.05282729085
756	0.05282191724
757	0.0527337125
758	0.05261314395
759	0.05251283923
760	0.0524368888
761	0.05231076774
762	0.05228547968
763	0.0521499359
764	0.05212006288
765	0.05205405449
766	0.05196673463
767	0.05188678239
768	0.0518829233
769	0.05168781445
770	0.0516387472
771	0.05157985449
772	0.05148331483
773	0.05147853069
774	0.05142408809
775	0.05141953665
776	0.0513297314
777	0.05120853803
778	0.05117465319
779	0.05105777521
780	0.05092550393
781	0.05088380715
782	0.0508187005
783	0.05068107607
784	0.05058885451
785	0.05048740521
786	0.05036868981
787	0.05029887892
788	0.05020725038
789	0.05009475513
790	0.04992298323
791	0.04981409988
792	0.0497229055
793	0.04952853114
794	0.04946602885
795	0.04938996573
796	0.04926258475
797	0.04922997533
798	0.04911370066
799	0.04895831815
800	0.04893204974
801	0.04882665044
802	0.04878426689
803	0.0486449459
804	0.04864121949
805	0.04864081691
806	0.04858517007
807	0.04851235176
808	0.04845956994
809	0.04844766841
810	0.04832203675
811	0.04816552552
812	0.04810434122
813	0.04806422498
814	0.04797565307
815	0.0479756254
816	0.04797286025
817	0.04793350726
818	0.0478515708
819	0.04784882494
820	0.04764929236
821	0.0475734358
822	0.04744775424
823	0.04732068115
824	0.04724586909
825	0.04709612326
826	0.04700558764
827	0.04694429381
828	0.0469391525
829	0.04683457653
830	0.04665371473
831	0.04659416516
832	0.04649245283
833	0.04641712942
834	0.04635360972
835	0.04628691873
836	0.04620700226
837	0.0460914882
838	0.04608888798
839	0.04600566369
840	0.04591448305
841	0.04590978378
842	0.04582223643
843	0.04578157055
844	0.04577754124
845	0.04572841029
846	0.04563724082
847	0.04561538161
848	0.04554759529
849	0.04539605879
850	0.04535244379
851	0.04532305807
852	0.04525101686
853	0.04517522823
854	0.0451693977
855	0.04507848274
856	0.04505256564
857	0.04500138479
858	0.04495189673
859	0.04487517685
860	0.04483669163
861	0.04483306898
862	0.04482775975
863	0.04472317791
864	0.04467056614
865	0.04453223284
866	0.04442251723
867	0.0442409646
868	0.04419743498
869	0.04412929774
870	0.04404890041
871	0.04404884779
872	0.04398003391
873	0.04382283985
874	0.04376910349
875	0.04367577287
876	0.04359138335
877	0.04350823372
878	0.04342446622
879	0.04327235544
880	0.04321642377
881	0.04316028691
882	0.04308967782
883	0.04306409576
884	0.04292403592
885	0.04283827285
886	0.04265494976
887	0.04256999777
888	0.04240457681
889	0.04240100266
890	0.04228618967
891	0.0422266398
892	0.04218449881
893	0.04213708256
894	0.04202950212
895	0.0419889234
896	0.04187534335
897	0.04181908461
898	0.04181565099
899	0.04179720189
900	0.04167738001
901	0.04161065372
902	0.04150757123
903	0.04147219795
904	0.04143505575
905	0.04129027481
906	0.0412383105
907	0.04121231133
908	0.04114726246
909	0.04108962839
910	0.04100730975
911	0.04100324166
912	0.04092687441
913	0.04088419494
914	0.04083334968
915	0.04080741777
916	0.04072803917
917	0.04072627138
918	0.04068909062
919	0.04067403512
920	0.04061338537
921	0.04046853393
922	0.04041464179
923	0.04024833285
924	0.04023499421
925	0.04007023633
926	0.04002056209
927	0.03996822687
928	0.03996391337
929	0.03996010243
930	0.03992518584
931	0.03987580696
932	0.03979790917
933	0.0397107267
934	0.03964069454
935	0.03958369017
936	0.03953114071
937	0.03947644405
938	0.03941065359
939	0.03927128375
940	0.03921089978
941	0.03917199688
942	0.03916881281
943	0.03913112055
944	0.03902501125
945	0.03895581841
946	0.03886134954
947	0.03883223954
948	0.03879081671
949	0.03879001967
950	0.03875916748
951	0.03868027734
952	0.03860403608
953	0.03850307494
954	0.03845968946
955	0.038414212
956	0.0383552693
957	0.0382679592
958	0.03823411953
959	0.03820123229
960	0.03809491154
961	0.03805265258
962	0.03800039496
963	0.03786996207
964	0.03779876148
965	0.0377357046
966	0.03773138294
967	0.03767043046
968	0.03760728702
969	0.03754738519
970	0.0374989018
971	0.0373501439
972	0.03731548617
973	0.03725953444
974	0.03724496061
975	0.03718238056
976	0.03716615651
977	0.03711948632
978	0.03707029185
979	0.03696044517
980	0.03686447499
981	0.03681469904
982	0.03678883423
983	0.03668330928
984	0.03667755881
985	0.03664333968
986	0.03658435593
987	0.03650987898
988	0.03648948586
989	0.03644010356
990	0.03640459376
991	0.0363843322
992	0.03634066091
993	0.03626588348
994	0.03622678857
995	0.03620536943
996	0.0361549045
997	0.03610290073
998	0.03601047835
999	0.03597393976
